codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
1;Tarapacá;1101;IQUIQUE;191468;2287;8,37201574114561e+01;1;Urbana
1;Tarapacá;1107;ALTO HOSPICIO;108375;575;1,88478260869565e+02;1;Urbana
1;Tarapacá;1401;POZO ALMONTE;15711;13769;1,14104146996877e+00;3;Rural
1;Tarapacá;1402;CAMIÑA;1250;2200;5,68181818181818e-01;3;Rural
1;Tarapacá;1403;COLCHANE;1728;4006;4,31352970544184e-01;3;Rural
1;Tarapacá;1404;HUARA;2730;10471;2,60720084041639e-01;3;Rural
1;Tarapacá;1405;PICA;9296;8984;1,03472840605521e+00;3;Rural
2;Antofagasta;2101;ANTOFAGASTA;361873;30691;1,17908507380014e+01;1;Urbana
2;Antofagasta;2102;MEJILLONES;13467;3569;3,77332586158588e+00;3;Rural
2;Antofagasta;2103;SIERRA GORDA;10186;12881;7,90777113578138e-01;3;Rural
2;Antofagasta;2104;TALTAL;13317;20403;6,52698132627555e-01;3;Rural
2;Antofagasta;2201;CALAMA;165731;15587;1,06326425867710e+01;1;Urbana
2;Antofagasta;2202;OLLAGÜE;321;2921;1,09893871961657e-01;3;Rural
2;Antofagasta;2203;SAN PEDRO DE ATACAMA;10996;23539;4,67139640596457e-01;3;Rural
2;Antofagasta;2301;TOCOPILLA;25186;4031;6,24807740014885e+00;3;Rural
2;Antofagasta;2302;MARÍA ELENA;6457;12431;5,19427238355724e-01;3;Rural
3;Atacama;3101;COPIAPÓ;153937;17779;8,65836098768210e+00;1;Urbana
3;Atacama;3102;CALDERA;17662;3681;4,79815267590329e+00;3;Rural
3;Atacama;3103;TIERRA AMARILLA;14019;11253;1,24580111970141e+00;3;Rural
3;Atacama;3201;CHAÑARAL;12219;5772;2,11694386694387e+00;3;Rural
3;Atacama;3202;DIEGO DE ALMAGRO;13925;18977;7,33783000474258e-01;3;Rural
3;Atacama;3301;VALLENAR;51917;7226;7,18474951563797e+00;2;Mixta
3;Atacama;3302;ALTO DEL CARMEN;5299;6156;8,60786224821313e-01;3;Rural
3;Atacama;3303;FREIRINA;7041;3224;2,18393300248139e+00;3;Rural
