codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;beneficiarios
1;Tarapacá;1101;Iquique;Urbana;190054
1;Tarapacá;1107;Alto Hospicio;Urbana;119419
1;Tarapacá;1401;Pozo Almonte;Rural;17410
1;Tarapacá;1402;Camiña;Rural;1095
1;Tarapacá;1403;Colchane;Rural;1130
1;Tarapacá;1404;Huara;Rural;3288
1;Tarapacá;1405;Pica;Rural;7397
2;Antofagasta;2101;Antofagasta;Urbana;332778
2;Antofagasta;2102;Mejillones;Rural;8600
2;Antofagasta;2103;Sierra Gorda;Rural;810
2;Antofagasta;2104;Taltal;Rural;7358
2;Antofagasta;2201;Calama;Urbana;148008
2;Antofagasta;2202;Ollagüe;Rural;68
2;Antofagasta;2203;San Pedro de Atacama;Rural;11674
2;Antofagasta;2301;Tocopilla;Rural;15892
2;Antofagasta;2302;María Elena;Rural;2476
3;Atacama;3101;Copiapó;Urbana;146742
3;Atacama;3102;Caldera;Rural;19416
3;Atacama;3103;Tierra Amarilla;Rural;17581
3;Atacama;3201;Chañaral;Rural;12515
3;Atacama;3202;Diego de Almagro;Rural;10075
3;Atacama;3301;Vallenar;Mixta;51111
3;Atacama;3302;Alto del Carmen;Rural;4979
3;Atacama;3303;Freirina;Rural;8224
3;Atacama;3304;Huasco;Rural;9627
4;Coquimbo;4101;La Serena;Urbana;230306
4;Coquimbo;4102;Coquimbo;Urbana;230665
4;Coquimbo;4103;Andacollo;Rural;6826
4;Coquimbo;4104;La Higuera;Rural;1791
4;Coquimbo;4105;Paiguano;Rural;3225
4;Coquimbo;4106;Vicuña;Rural;23258
4;Coquimbo;4201;Illapel;Rural;31645
4;Coquimbo;4202;Canela;Rural;10138
4;Coquimbo;4203;Los Vilos;Rural;16578
4;Coquimbo;4204;Salamanca;Rural;21027
4;Coquimbo;4301;Ovalle;Urbana;114786
4;Coquimbo;4302;Combarbalá;Rural;9815
4;Coquimbo;4303;Monte Patria;Rural;32543
4;Coquimbo;4304;Punitaqui;Rural;13291
4;Coquimbo;4305;Río Hurtado;Rural;4591
5;Valparaíso;5101;Valparaíso;Urbana;279479
5;Valparaíso;5102;Casablanca;Mixta;24206
5;Valparaíso;5103;Concón;Mixta;38881
5;Valparaíso;5104;Juan Fernández;Rural;434
5;Valparaíso;5105;Puchuncaví;Mixta;20254
5;Valparaíso;5107;Quintero;Mixta;23972
5;Valparaíso;5109;Viña del Mar;Urbana;280689
5;Valparaíso;5201;Isla de Pascua;Rural;3815
5;Valparaíso;5301;Los Andes;Urbana;57175
5;Valparaíso;5302;Calle Larga;Mixta;14392
5;Valparaíso;5303;Rinconada;Rural;11679
5;Valparaíso;5304;San Esteban;Mixta;17158
5;Valparaíso;5401;La Ligua;Mixta;37153
5;Valparaíso;5402;Cabildo;Mixta;15916
5;Valparaíso;5403;Papudo;Rural;6643
5;Valparaíso;5404;Petorca;Rural;10364
5;Valparaíso;5405;Zapallar;Rural;9329
5;Valparaíso;5501;Quillota;Urbana;93605
5;Valparaíso;5502;Calera;Urbana;45494
5;Valparaíso;5503;Hijuelas;Mixta;20020
5;Valparaíso;5504;La Cruz;Mixta;21151
5;Valparaíso;5506;Nogales;Rural;21809
5;Valparaíso;5601;San Antonio;Urbana;90386
5;Valparaíso;5602;Algarrobo;Mixta;16358
5;Valparaíso;5603;Cartagena;Mixta;28183
5;Valparaíso;5604;El Quisco;Mixta;19186
5;Valparaíso;5605;El Tabo;Mixta;15496
5;Valparaíso;5606;Santo Domingo;Rural;11462
5;Valparaíso;5701;San Felipe;Urbana;71158
5;Valparaíso;5702;Catemu;Rural;15038
5;Valparaíso;5703;Llaillay;Mixta;21639
5;Valparaíso;5704;Panquehue;Rural;7949
5;Valparaíso;5705;Putaendo;Mixta;17086
5;Valparaíso;5706;Santa María;Mixta;15794
5;Valparaíso;5801;Quilpué;Urbana;133329
5;Valparaíso;5802;Limache;Mixta;34987
5;Valparaíso;5803;Olmué;Rural;19003
5;Valparaíso;5804;Villa Alemana;Urbana;112599
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;232584
