codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;sexo;tramo_fonasa;beneficiarios
5;Valparaíso;5602;Algarrobo;Mixta;Hombre;A;1211
13;Metropolitana de Santiago;13502;Alhué;Rural;Hombre;A;473
8;Biobío;8314;Alto Biobío;Rural;Hombre;A;890
3;Atacama;3302;Alto del Carmen;Rural;Hombre;A;470
1;Tarapacá;1107;Alto Hospicio;Urbana;Hombre;A;19408
10;Los Lagos;10202;Ancud;Mixta;Hombre;A;4560
4;Coquimbo;4103;Andacollo;Rural;Hombre;A;566
9;La Araucanía;9201;Angol;Urbana;Hombre;A;5056
2;Antofagasta;2101;Antofagasta;Urbana;Hombre;A;22669
8;Biobío;8302;Antuco;Rural;Hombre;A;411
12;Magallanes y de la Antártica Chilena;12202;Antártica;NA;Hombre;A;4
8;Biobío;8202;Arauco;Rural;Hombre;A;3790
15;Arica y Parinacota;15101;Arica;Urbana;Hombre;A;26148
11;Aysén del General Carlos Ibáñez del Campo;11201;Aysén;Rural;Hombre;A;2103
13;Metropolitana de Santiago;13402;Buin;Urbana;Hombre;A;6581
16;Ñuble;16102;Bulnes;Rural;Hombre;A;1584
5;Valparaíso;5402;Cabildo;Mixta;Hombre;A;950
12;Magallanes y de la Antártica Chilena;12201;Cabo de Hornos;Rural;Hombre;A;23
8;Biobío;8303;Cabrero;Rural;Hombre;A;2543
2;Antofagasta;2201;Calama;Urbana;Hombre;A;8465
10;Los Lagos;10102;Calbuco;Mixta;Hombre;A;5324
3;Atacama;3102;Caldera;Rural;Hombre;A;2068
5;Valparaíso;5502;Calera;Urbana;Hombre;A;3209
13;Metropolitana de Santiago;13403;Calera de Tango;Mixta;Hombre;A;1157
5;Valparaíso;5302;Calle Larga;Mixta;Hombre;A;971
15;Arica y Parinacota;15102;Camarones;Rural;Hombre;A;27
1;Tarapacá;1402;Camiña;Rural;Hombre;A;246
4;Coquimbo;4202;Canela;Rural;Hombre;A;982
9;La Araucanía;9102;Carahue;Rural;Hombre;A;3315
5;Valparaíso;5603;Cartagena;Mixta;Hombre;A;3528
5;Valparaíso;5102;Casablanca;Mixta;Hombre;A;1420
10;Los Lagos;10201;Castro;Mixta;Hombre;A;4252
5;Valparaíso;5702;Catemu;Rural;Hombre;A;1116
7;Maule;7201;Cauquenes;Rural;Hombre;A;4606
8;Biobío;8203;Cañete;Rural;Hombre;A;4326
13;Metropolitana de Santiago;13102;Cerrillos;Urbana;Hombre;A;4490
13;Metropolitana de Santiago;13103;Cerro Navia;Urbana;Hombre;A;11269
10;Los Lagos;10401;Chaitén;Rural;Hombre;A;262
7;Maule;7202;Chanco;Rural;Hombre;A;846
3;Atacama;3201;Chañaral;Rural;Hombre;A;1124
8;Biobío;8103;Chiguayante;Urbana;Hombre;A;4458
11;Aysén del General Carlos Ibáñez del Campo;11401;Chile Chico;Rural;Hombre;A;293
16;Ñuble;16101;Chillán;Urbana;Hombre;A;12718
16;Ñuble;16103;Chillán Viejo;Mixta;Hombre;A;2753
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;Hombre;A;1860
9;La Araucanía;9121;Cholchol;Rural;Hombre;A;1863
10;Los Lagos;10203;Chonchi;Rural;Hombre;A;1756
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;Hombre;A;1068
11;Aysén del General Carlos Ibáñez del Campo;11202;Cisnes;Rural;Hombre;A;458
16;Ñuble;16202;Cobquecura;Rural;Hombre;A;792
10;Los Lagos;10103;Cochamó;Rural;Hombre;A;350
11;Aysén del General Carlos Ibáñez del Campo;11301;Cochrane;Rural;Hombre;A;378
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;Hombre;A;948
16;Ñuble;16203;Coelemu;Rural;Hombre;A;885
16;Ñuble;16302;Coihueco;Rural;Hombre;A;2849
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;Hombre;A;314
7;Maule;7402;Colbún;Rural;Hombre;A;2390
1;Tarapacá;1403;Colchane;Rural;Hombre;A;222
13;Metropolitana de Santiago;13301;Colina;Urbana;Hombre;A;11924
9;La Araucanía;9202;Collipulli;Rural;Hombre;A;2010
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;Hombre;A;1257
4;Coquimbo;4302;Combarbalá;Rural;Hombre;A;916
8;Biobío;8101;Concepción;Urbana;Hombre;A;13090
13;Metropolitana de Santiago;13104;Conchalí;Urbana;Hombre;A;8940
5;Valparaíso;5103;Concón;Mixta;Hombre;A;2324
7;Maule;7102;Constitución;Mixta;Hombre;A;5352
8;Biobío;8204;Contulmo;Rural;Hombre;A;682
3;Atacama;3101;Copiapó;Urbana;Hombre;A;10855
4;Coquimbo;4102;Coquimbo;Urbana;Hombre;A;17344
8;Biobío;8102;Coronel;Urbana;Hombre;A;8753
14;Los Ríos;14102;Corral;Rural;Hombre;A;358
11;Aysén del General Carlos Ibáñez del Campo;11101;Coyhaique;Urbana;Hombre;A;4157
9;La Araucanía;9103;Cunco;Rural;Hombre;A;1729
9;La Araucanía;9203;Curacautín;Mixta;Hombre;A;1570
13;Metropolitana de Santiago;13503;Curacaví;Mixta;Hombre;A;2193
10;Los Lagos;10204;Curaco de Vélez;Rural;Hombre;A;365
8;Biobío;8205;Curanilahue;Mixta;Hombre;A;2418
9;La Araucanía;9104;Curarrehue;Rural;Hombre;A;1537
7;Maule;7103;Curepto;Rural;Hombre;A;648
7;Maule;7301;Curicó;Urbana;Hombre;A;9870
10;Los Lagos;10205;Dalcahue;Rural;Hombre;A;2095
3;Atacama;3202;Diego de Almagro;Rural;Hombre;A;456
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;Hombre;A;1369
13;Metropolitana de Santiago;13105;El Bosque;Urbana;Hombre;A;15902
16;Ñuble;16104;El Carmen;Rural;Hombre;A;1207
13;Metropolitana de Santiago;13602;El Monte;Mixta;Hombre;A;2788
5;Valparaíso;5604;El Quisco;Mixta;Hombre;A;1978
5;Valparaíso;5605;El Tabo;Mixta;Hombre;A;1592
7;Maule;7104;Empedrado;Rural;Hombre;A;485
9;La Araucanía;9204;Ercilla;Rural;Hombre;A;1248
13;Metropolitana de Santiago;13106;Estación Central;Urbana;Hombre;A;10139
8;Biobío;8104;Florida;Rural;Hombre;A;954
9;La Araucanía;9105;Freire;Rural;Hombre;A;2526
3;Atacama;3303;Freirina;Rural;Hombre;A;740
10;Los Lagos;10104;Fresia;Rural;Hombre;A;1226
10;Los Lagos;10105;Frutillar;Rural;Hombre;A;1488
10;Los Lagos;10402;Futaleufú;Rural;Hombre;A;284
14;Los Ríos;14202;Futrono;Rural;Hombre;A;1875
9;La Araucanía;9106;Galvarino;Rural;Hombre;A;1454
15;Arica y Parinacota;15202;General Lagos;Rural;Hombre;A;45
9;La Araucanía;9107;Gorbea;Mixta;Hombre;A;1206
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;Hombre;A;1191
11;Aysén del General Carlos Ibáñez del Campo;11203;Guaitecas;Rural;Hombre;A;51
5;Valparaíso;5503;Hijuelas;Mixta;Hombre;A;1714
10;Los Lagos;10403;Hualaihué;Rural;Hombre;A;1139
7;Maule;7302;Hualañé;Rural;Hombre;A;639
8;Biobío;8112;Hualpén;Urbana;Hombre;A;5265
8;Biobío;8105;Hualqui;Mixta;Hombre;A;2269
1;Tarapacá;1404;Huara;Rural;Hombre;A;672
3;Atacama;3304;Huasco;Rural;Hombre;A;969
13;Metropolitana de Santiago;13107;Huechuraba;Urbana;Hombre;A;6306
4;Coquimbo;4201;Illapel;Rural;Hombre;A;2611
13;Metropolitana de Santiago;13108;Independencia;Urbana;Hombre;A;10372
1;Tarapacá;1101;Iquique;Urbana;Hombre;A;15540
13;Metropolitana de Santiago;13603;Isla de Maipo;Mixta;Hombre;A;2152
5;Valparaíso;5201;Isla de Pascua;Rural;Hombre;A;448
5;Valparaíso;5104;Juan Fernández;Rural;Hombre;A;4
13;Metropolitana de Santiago;13109;La Cisterna;Urbana;Hombre;A;6385
5;Valparaíso;5504;La Cruz;Mixta;Hombre;A;1009
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;Hombre;A;313
13;Metropolitana de Santiago;13110;La Florida;Urbana;Hombre;A;23691
13;Metropolitana de Santiago;13111;La Granja;Urbana;Hombre;A;12547
4;Coquimbo;4104;La Higuera;Rural;Hombre;A;277
5;Valparaíso;5401;La Ligua;Mixta;Hombre;A;3085
13;Metropolitana de Santiago;13112;La Pintana;Urbana;Hombre;A;17833
13;Metropolitana de Santiago;13113;La Reina;Urbana;Hombre;A;1951
4;Coquimbo;4101;La Serena;Urbana;Hombre;A;15266
14;Los Ríos;14201;La Unión;Rural;Hombre;A;3292
14;Los Ríos;14203;Lago Ranco;Rural;Hombre;A;1500
11;Aysén del General Carlos Ibáñez del Campo;11102;Lago Verde;Rural;Hombre;A;21
8;Biobío;8304;Laja;Mixta;Hombre;A;1670
13;Metropolitana de Santiago;13302;Lampa;Urbana;Hombre;A;9415
14;Los Ríos;14103;Lanco;Mixta;Hombre;A;1573
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;Hombre;A;2118
13;Metropolitana de Santiago;13114;Las Condes;Urbana;Hombre;A;3920
9;La Araucanía;9108;Lautaro;Mixta;Hombre;A;4476
8;Biobío;8201;Lebu;Mixta;Hombre;A;3618
7;Maule;7303;Licantén;Rural;Hombre;A;711
5;Valparaíso;5802;Limache;Mixta;Hombre;A;2164
7;Maule;7401;Linares;Urbana;Hombre;A;7634
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;Hombre;A;355
5;Valparaíso;5703;Llaillay;Mixta;Hombre;A;1637
10;Los Lagos;10107;Llanquihue;Rural;Hombre;A;1303
13;Metropolitana de Santiago;13115;Lo Barnechea;Urbana;Hombre;A;2294
13;Metropolitana de Santiago;13116;Lo Espejo;Urbana;Hombre;A;9478
13;Metropolitana de Santiago;13117;Lo Prado;Urbana;Hombre;A;10099
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;Hombre;A;416
9;La Araucanía;9109;Loncoche;Mixta;Hombre;A;2348
7;Maule;7403;Longaví;Rural;Hombre;A;3418
9;La Araucanía;9205;Lonquimay;Rural;Hombre;A;1305
5;Valparaíso;5301;Los Andes;Urbana;Hombre;A;3094
14;Los Ríos;14104;Los Lagos;Rural;Hombre;A;1904
10;Los Lagos;10106;Los Muermos;Rural;Hombre;A;2726
9;La Araucanía;9206;Los Sauces;Rural;Hombre;A;869
4;Coquimbo;4203;Los Vilos;Rural;Hombre;A;2255
8;Biobío;8206;Los Alamos;Rural;Hombre;A;2500
8;Biobío;8301;Los Angeles;Urbana;Hombre;A;15914
8;Biobío;8106;Lota;Mixta;Hombre;A;3424
9;La Araucanía;9207;Lumaco;Rural;Hombre;A;1183
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;Hombre;A;1890
13;Metropolitana de Santiago;13118;Macul;Urbana;Hombre;A;9922
13;Metropolitana de Santiago;13119;Maipú;Urbana;Hombre;A;17685
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;Hombre;A;1241
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;Hombre;A;311
14;Los Ríos;14106;Mariquina;Rural;Hombre;A;2684
2;Antofagasta;2302;María Elena;Rural;Hombre;A;175
13;Metropolitana de Santiago;13504;María Pinto;Rural;Hombre;A;1253
7;Maule;7105;Maule;Mixta;Hombre;A;4209
10;Los Lagos;10108;Maullín;Rural;Hombre;A;1872
2;Antofagasta;2102;Mejillones;Rural;Hombre;A;754
9;La Araucanía;9110;Melipeuco;Rural;Hombre;A;1046
13;Metropolitana de Santiago;13501;Melipilla;Urbana;Hombre;A;9898
7;Maule;7304;Molina;Mixta;Hombre;A;3576
4;Coquimbo;4303;Monte Patria;Rural;Hombre;A;2709
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;Hombre;A;1546
8;Biobío;8305;Mulchén;Mixta;Hombre;A;2764
14;Los Ríos;14105;Máfil;Mixta;Hombre;A;879
8;Biobío;8306;Nacimiento;Mixta;Hombre;A;1744
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;Hombre;A;1167
12;Magallanes y de la Antártica Chilena;12401;Natales;Rural;Hombre;A;1874
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;Hombre;A;857
8;Biobío;8307;Negrete;Rural;Hombre;A;960
16;Ñuble;16204;Ninhue;Rural;Hombre;A;514
5;Valparaíso;5506;Nogales;Rural;Hombre;A;1246
9;La Araucanía;9111;Nueva Imperial;Mixta;Hombre;A;6045
11;Aysén del General Carlos Ibáñez del Campo;11302;O'Higgins;Rural;Hombre;A;9
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;Hombre;A;906
2;Antofagasta;2202;Ollagüe;Rural;Hombre;A;3
5;Valparaíso;5803;Olmué;Rural;Hombre;A;1311
10;Los Lagos;10301;Osorno;Urbana;Hombre;A;11894
4;Coquimbo;4301;Ovalle;Urbana;Hombre;A;7778
13;Metropolitana de Santiago;13604;Padre Hurtado;Urbana;Hombre;A;4378
9;La Araucanía;9112;Padre Las Casas;Mixta;Hombre;A;8282
4;Coquimbo;4105;Paiguano;Rural;Hombre;A;245
14;Los Ríos;14107;Paillaco;Rural;Hombre;A;2142
13;Metropolitana de Santiago;13404;Paine;Mixta;Hombre;A;5135
10;Los Lagos;10404;Palena;Rural;Hombre;A;130
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;Hombre;A;614
14;Los Ríos;14108;Panguipulli;Rural;Hombre;A;5091
5;Valparaíso;5704;Panquehue;Rural;Hombre;A;383
5;Valparaíso;5403;Papudo;Rural;Hombre;A;426
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;Hombre;A;606
7;Maule;7404;Parral;Mixta;Hombre;A;4201
13;Metropolitana de Santiago;13121;Pedro Aguirre Cerda;Urbana;Hombre;A;9459
7;Maule;7106;Pelarco;Rural;Hombre;A;1025
7;Maule;7203;Pelluhue;Rural;Hombre;A;1514
16;Ñuble;16105;Pemuco;Rural;Hombre;A;733
7;Maule;7107;Pencahue;Rural;Hombre;A;855
8;Biobío;8107;Penco;Mixta;Hombre;A;3548
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;Hombre;A;922
9;La Araucanía;9113;Perquenco;Rural;Hombre;A;633
5;Valparaíso;5404;Petorca;Rural;Hombre;A;856
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;Hombre;A;564
13;Metropolitana de Santiago;13605;Peñaflor;Urbana;Hombre;A;5654
13;Metropolitana de Santiago;13122;Peñalolén;Urbana;Hombre;A;17932
1;Tarapacá;1405;Pica;Rural;Hombre;A;1054
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;Hombre;A;1134
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;Hombre;A;945
16;Ñuble;16106;Pinto;Rural;Hombre;A;1537
13;Metropolitana de Santiago;13202;Pirque;Rural;Hombre;A;1671
9;La Araucanía;9114;Pitrufquén;Mixta;Hombre;A;2754
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;Hombre;A;698
16;Ñuble;16205;Portezuelo;Rural;Hombre;A;524
12;Magallanes y de la Antártica Chilena;12301;Porvenir;Rural;Hombre;A;310
1;Tarapacá;1401;Pozo Almonte;Rural;Hombre;A;2191
12;Magallanes y de la Antártica Chilena;12302;Primavera;Rural;Hombre;A;3
13;Metropolitana de Santiago;13123;Providencia;Urbana;Hombre;A;2749
5;Valparaíso;5105;Puchuncaví;Mixta;Hombre;A;1525
9;La Araucanía;9115;Pucón;Rural;Hombre;A;3520
13;Metropolitana de Santiago;13124;Pudahuel;Urbana;Hombre;A;15753
13;Metropolitana de Santiago;13201;Puente Alto;Urbana;Hombre;A;29157
10;Los Lagos;10101;Puerto Montt;Urbana;Hombre;A;18303
10;Los Lagos;10302;Puerto Octay;Rural;Hombre;A;671
10;Los Lagos;10109;Puerto Varas;Mixta;Hombre;A;3103
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;Hombre;A;309
4;Coquimbo;4304;Punitaqui;Rural;Hombre;A;1348
12;Magallanes y de la Antártica Chilena;12101;Punta Arenas;Urbana;Hombre;A;5269
10;Los Lagos;10206;Puqueldón;Rural;Hombre;A;360
10;Los Lagos;10303;Purranque;Rural;Hombre;A;1731
9;La Araucanía;9208;Purén;Rural;Hombre;A;1195
5;Valparaíso;5705;Putaendo;Mixta;Hombre;A;1302
15;Arica y Parinacota;15201;Putre;Rural;Hombre;A;121
10;Los Lagos;10304;Puyehue;Rural;Hombre;A;1103
10;Los Lagos;10207;Queilén;Rural;Hombre;A;614
10;Los Lagos;10208;Quellón;Mixta;Hombre;A;4387
10;Los Lagos;10209;Quemchi;Rural;Hombre;A;1113
8;Biobío;8308;Quilaco;Rural;Hombre;A;364
13;Metropolitana de Santiago;13125;Quilicura;Urbana;Hombre;A;10486
8;Biobío;8309;Quilleco;Rural;Hombre;A;773
5;Valparaíso;5501;Quillota;Urbana;Hombre;A;6280
16;Ñuble;16107;Quillón;Mixta;Hombre;A;1921
5;Valparaíso;5801;Quilpué;Urbana;Hombre;A;7658
10;Los Lagos;10210;Quinchao;Rural;Hombre;A;865
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;Hombre;A;1242
13;Metropolitana de Santiago;13126;Quinta Normal;Urbana;Hombre;A;9314
5;Valparaíso;5107;Quintero;Mixta;Hombre;A;1913
16;Ñuble;16201;Quirihue;Mixta;Hombre;A;717
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;Hombre;A;14979
16;Ñuble;16206;Ranquil;Rural;Hombre;A;549
7;Maule;7305;Rauco;Rural;Hombre;A;794
13;Metropolitana de Santiago;13127;Recoleta;Urbana;Hombre;A;13226
9;La Araucanía;9209;Renaico;Mixta;Hombre;A;1023
13;Metropolitana de Santiago;13128;Renca;Urbana;Hombre;A;12510
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;Hombre;A;4752
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;Hombre;A;1281
7;Maule;7405;Retiro;Rural;Hombre;A;2312
5;Valparaíso;5303;Rinconada;Rural;Hombre;A;848
7;Maule;7306;Romeral;Mixta;Hombre;A;1182
14;Los Ríos;14204;Río Bueno;Mixta;Hombre;A;2556
7;Maule;7108;Río Claro;Rural;Hombre;A;969
4;Coquimbo;4305;Río Hurtado;Rural;Hombre;A;500
11;Aysén del General Carlos Ibáñez del Campo;11402;Río Ibáñez;Rural;Hombre;A;96
10;Los Lagos;10305;Río Negro;Rural;Hombre;A;1327
12;Magallanes y de la Antártica Chilena;12103;Río Verde;Rural;Hombre;A;3
9;La Araucanía;9116;Saavedra;Rural;Hombre;A;2223
7;Maule;7307;Sagrada Familia;Rural;Hombre;A;1124
4;Coquimbo;4204;Salamanca;Rural;Hombre;A;1715
5;Valparaíso;5601;San Antonio;Urbana;Hombre;A;7091
13;Metropolitana de Santiago;13401;San Bernardo;Urbana;Hombre;A;20727
16;Ñuble;16301;San Carlos;Mixta;Hombre;A;5065
7;Maule;7109;San Clemente;Rural;Hombre;A;4363
5;Valparaíso;5304;San Esteban;Mixta;Hombre;A;979
16;Ñuble;16304;San Fabián;Rural;Hombre;A;553
5;Valparaíso;5701;San Felipe;Urbana;Hombre;A;4429
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;Hombre;A;5272
12;Magallanes y de la Antártica Chilena;12104;San Gregorio;Rural;Hombre;A;3
16;Ñuble;16108;San Ignacio;Rural;Hombre;A;1993
7;Maule;7406;San Javier;Mixta;Hombre;A;3520
13;Metropolitana de Santiago;13129;San Joaquín;Urbana;Hombre;A;8072
13;Metropolitana de Santiago;13203;San José de Maipo;Rural;Hombre;A;855
10;Los Lagos;10306;San Juan de la Costa;Rural;Hombre;A;1664
