codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;beneficiarios
1;Tarapacá;1101;Iquique;Urbana;A;38820
1;Tarapacá;1101;Iquique;Urbana;B;69103
1;Tarapacá;1101;Iquique;Urbana;C;33496
1;Tarapacá;1101;Iquique;Urbana;D;48635
1;Tarapacá;1107;Alto Hospicio;Urbana;A;45000
1;Tarapacá;1107;Alto Hospicio;Urbana;B;34110
1;Tarapacá;1107;Alto Hospicio;Urbana;C;16864
1;Tarapacá;1107;Alto Hospicio;Urbana;D;23445
1;Tarapacá;1401;Pozo Almonte;Rural;A;5215
1;Tarapacá;1401;Pozo Almonte;Rural;B;5206
1;Tarapacá;1401;Pozo Almonte;Rural;C;2852
1;Tarapacá;1401;Pozo Almonte;Rural;D;4137
1;Tarapacá;1402;Camiña;Rural;A;578
1;Tarapacá;1402;Camiña;Rural;B;302
1;Tarapacá;1402;Camiña;Rural;C;92
1;Tarapacá;1402;Camiña;Rural;D;123
1;Tarapacá;1403;Colchane;Rural;A;550
1;Tarapacá;1403;Colchane;Rural;B;324
1;Tarapacá;1403;Colchane;Rural;C;77
1;Tarapacá;1403;Colchane;Rural;D;179
1;Tarapacá;1404;Huara;Rural;A;1576
1;Tarapacá;1404;Huara;Rural;B;907
1;Tarapacá;1404;Huara;Rural;C;313
1;Tarapacá;1404;Huara;Rural;D;492
1;Tarapacá;1405;Pica;Rural;A;2455
1;Tarapacá;1405;Pica;Rural;B;2296
1;Tarapacá;1405;Pica;Rural;C;1086
1;Tarapacá;1405;Pica;Rural;D;1560
2;Antofagasta;2101;Antofagasta;Urbana;A;57417
2;Antofagasta;2101;Antofagasta;Urbana;B;110485
2;Antofagasta;2101;Antofagasta;Urbana;C;60106
2;Antofagasta;2101;Antofagasta;Urbana;D;104770
2;Antofagasta;2102;Mejillones;Rural;A;2091
2;Antofagasta;2102;Mejillones;Rural;B;1955
2;Antofagasta;2102;Mejillones;Rural;C;1713
2;Antofagasta;2102;Mejillones;Rural;D;2841
2;Antofagasta;2103;Sierra Gorda;Rural;A;278
2;Antofagasta;2103;Sierra Gorda;Rural;B;154
2;Antofagasta;2103;Sierra Gorda;Rural;C;129
2;Antofagasta;2103;Sierra Gorda;Rural;D;249
2;Antofagasta;2104;Taltal;Rural;A;1585
2;Antofagasta;2104;Taltal;Rural;B;2390
2;Antofagasta;2104;Taltal;Rural;C;1436
2;Antofagasta;2104;Taltal;Rural;D;1947
2;Antofagasta;2201;Calama;Urbana;A;22275
2;Antofagasta;2201;Calama;Urbana;B;46743
2;Antofagasta;2201;Calama;Urbana;C;25613
2;Antofagasta;2201;Calama;Urbana;D;53377
2;Antofagasta;2202;Ollagüe;Rural;A;8
2;Antofagasta;2202;Ollagüe;Rural;B;23
2;Antofagasta;2202;Ollagüe;Rural;C;9
2;Antofagasta;2202;Ollagüe;Rural;D;28
2;Antofagasta;2203;San Pedro de Atacama;Rural;A;2126
2;Antofagasta;2203;San Pedro de Atacama;Rural;B;3837
2;Antofagasta;2203;San Pedro de Atacama;Rural;C;2015
2;Antofagasta;2203;San Pedro de Atacama;Rural;D;3696
2;Antofagasta;2301;Tocopilla;Rural;A;4739
2;Antofagasta;2301;Tocopilla;Rural;B;4768
2;Antofagasta;2301;Tocopilla;Rural;C;2346
2;Antofagasta;2301;Tocopilla;Rural;D;4039
