codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;sexo;beneficiarios
1;Tarapacá;1101;Iquique;Urbana;A;Hombre;15540
1;Tarapacá;1101;Iquique;Urbana;A;Indeterminado;12
1;Tarapacá;1101;Iquique;Urbana;A;Mujer;23268
1;Tarapacá;1101;Iquique;Urbana;B;Hombre;29439
1;Tarapacá;1101;Iquique;Urbana;B;Mujer;39664
1;Tarapacá;1101;Iquique;Urbana;C;Hombre;16743
1;Tarapacá;1101;Iquique;Urbana;C;Mujer;16753
1;Tarapacá;1101;Iquique;Urbana;D;Hombre;27744
1;Tarapacá;1101;Iquique;Urbana;D;Indeterminado;2
1;Tarapacá;1101;Iquique;Urbana;D;Mujer;20889
1;Tarapacá;1107;Alto Hospicio;Urbana;A;Hombre;19408
1;Tarapacá;1107;Alto Hospicio;Urbana;A;Indeterminado;7
1;Tarapacá;1107;Alto Hospicio;Urbana;A;Mujer;25585
1;Tarapacá;1107;Alto Hospicio;Urbana;B;Hombre;15947
1;Tarapacá;1107;Alto Hospicio;Urbana;B;Indeterminado;1
1;Tarapacá;1107;Alto Hospicio;Urbana;B;Mujer;18162
1;Tarapacá;1107;Alto Hospicio;Urbana;C;Hombre;8861
1;Tarapacá;1107;Alto Hospicio;Urbana;C;Indeterminado;1
1;Tarapacá;1107;Alto Hospicio;Urbana;C;Mujer;8002
1;Tarapacá;1107;Alto Hospicio;Urbana;D;Hombre;14553
1;Tarapacá;1107;Alto Hospicio;Urbana;D;Mujer;8892
1;Tarapacá;1401;Pozo Almonte;Rural;A;Hombre;2191
1;Tarapacá;1401;Pozo Almonte;Rural;A;Indeterminado;1
1;Tarapacá;1401;Pozo Almonte;Rural;A;Mujer;3023
1;Tarapacá;1401;Pozo Almonte;Rural;B;Hombre;2448
1;Tarapacá;1401;Pozo Almonte;Rural;B;Mujer;2758
1;Tarapacá;1401;Pozo Almonte;Rural;C;Hombre;1546
1;Tarapacá;1401;Pozo Almonte;Rural;C;Mujer;1306
1;Tarapacá;1401;Pozo Almonte;Rural;D;Hombre;2662
1;Tarapacá;1401;Pozo Almonte;Rural;D;Mujer;1475
1;Tarapacá;1402;Camiña;Rural;A;Hombre;246
1;Tarapacá;1402;Camiña;Rural;A;Mujer;332
1;Tarapacá;1402;Camiña;Rural;B;Hombre;159
1;Tarapacá;1402;Camiña;Rural;B;Mujer;143
1;Tarapacá;1402;Camiña;Rural;C;Hombre;57
1;Tarapacá;1402;Camiña;Rural;C;Mujer;35
1;Tarapacá;1402;Camiña;Rural;D;Hombre;58
1;Tarapacá;1402;Camiña;Rural;D;Mujer;65
1;Tarapacá;1403;Colchane;Rural;A;Hombre;222
1;Tarapacá;1403;Colchane;Rural;A;Mujer;328
1;Tarapacá;1403;Colchane;Rural;B;Hombre;167
1;Tarapacá;1403;Colchane;Rural;B;Mujer;157
1;Tarapacá;1403;Colchane;Rural;C;Hombre;36
1;Tarapacá;1403;Colchane;Rural;C;Mujer;41
1;Tarapacá;1403;Colchane;Rural;D;Hombre;103
1;Tarapacá;1403;Colchane;Rural;D;Mujer;76
1;Tarapacá;1404;Huara;Rural;A;Hombre;672
1;Tarapacá;1404;Huara;Rural;A;Indeterminado;1
1;Tarapacá;1404;Huara;Rural;A;Mujer;903
1;Tarapacá;1404;Huara;Rural;B;Hombre;433
1;Tarapacá;1404;Huara;Rural;B;Mujer;474
1;Tarapacá;1404;Huara;Rural;C;Hombre;168
1;Tarapacá;1404;Huara;Rural;C;Mujer;145
1;Tarapacá;1404;Huara;Rural;D;Hombre;288
1;Tarapacá;1404;Huara;Rural;D;Mujer;204
1;Tarapacá;1405;Pica;Rural;A;Hombre;1054
1;Tarapacá;1405;Pica;Rural;A;Mujer;1401
1;Tarapacá;1405;Pica;Rural;B;Hombre;1055
1;Tarapacá;1405;Pica;Rural;B;Mujer;1241
1;Tarapacá;1405;Pica;Rural;C;Hombre;506
1;Tarapacá;1405;Pica;Rural;C;Mujer;580
1;Tarapacá;1405;Pica;Rural;D;Hombre;908
1;Tarapacá;1405;Pica;Rural;D;Mujer;652
2;Antofagasta;2101;Antofagasta;Urbana;A;Hombre;22669
2;Antofagasta;2101;Antofagasta;Urbana;A;Indeterminado;19
2;Antofagasta;2101;Antofagasta;Urbana;A;Mujer;34729
2;Antofagasta;2101;Antofagasta;Urbana;B;Hombre;44066
2;Antofagasta;2101;Antofagasta;Urbana;B;Indeterminado;6
2;Antofagasta;2101;Antofagasta;Urbana;B;Mujer;66413
2;Antofagasta;2101;Antofagasta;Urbana;C;Hombre;28856
2;Antofagasta;2101;Antofagasta;Urbana;C;Indeterminado;5
2;Antofagasta;2101;Antofagasta;Urbana;C;Mujer;31245
2;Antofagasta;2101;Antofagasta;Urbana;D;Hombre;60072
2;Antofagasta;2101;Antofagasta;Urbana;D;Indeterminado;5
2;Antofagasta;2101;Antofagasta;Urbana;D;Mujer;44693
2;Antofagasta;2102;Mejillones;Rural;A;Hombre;754
2;Antofagasta;2102;Mejillones;Rural;A;Mujer;1337
2;Antofagasta;2102;Mejillones;Rural;B;Hombre;869
2;Antofagasta;2102;Mejillones;Rural;B;Mujer;1086
2;Antofagasta;2102;Mejillones;Rural;C;Hombre;838
2;Antofagasta;2102;Mejillones;Rural;C;Mujer;875
2;Antofagasta;2102;Mejillones;Rural;D;Hombre;1723
2;Antofagasta;2102;Mejillones;Rural;D;Mujer;1118
2;Antofagasta;2103;Sierra Gorda;Rural;A;Hombre;92
2;Antofagasta;2103;Sierra Gorda;Rural;A;Mujer;186
2;Antofagasta;2103;Sierra Gorda;Rural;B;Hombre;57
2;Antofagasta;2103;Sierra Gorda;Rural;B;Mujer;97
2;Antofagasta;2103;Sierra Gorda;Rural;C;Hombre;54
2;Antofagasta;2103;Sierra Gorda;Rural;C;Mujer;75
2;Antofagasta;2103;Sierra Gorda;Rural;D;Hombre;146
2;Antofagasta;2103;Sierra Gorda;Rural;D;Mujer;103
2;Antofagasta;2104;Taltal;Rural;A;Hombre;719
2;Antofagasta;2104;Taltal;Rural;A;Indeterminado;1
2;Antofagasta;2104;Taltal;Rural;A;Mujer;865
2;Antofagasta;2104;Taltal;Rural;B;Hombre;1084
2;Antofagasta;2104;Taltal;Rural;B;Mujer;1306
2;Antofagasta;2104;Taltal;Rural;C;Hombre;792
2;Antofagasta;2104;Taltal;Rural;C;Mujer;644
2;Antofagasta;2104;Taltal;Rural;D;Hombre;1201
2;Antofagasta;2104;Taltal;Rural;D;Mujer;746
2;Antofagasta;2201;Calama;Urbana;A;Hombre;8465
2;Antofagasta;2201;Calama;Urbana;A;Indeterminado;9
2;Antofagasta;2201;Calama;Urbana;A;Mujer;13801
2;Antofagasta;2201;Calama;Urbana;B;Hombre;18495
2;Antofagasta;2201;Calama;Urbana;B;Indeterminado;3
2;Antofagasta;2201;Calama;Urbana;B;Mujer;28245
2;Antofagasta;2201;Calama;Urbana;C;Hombre;12101
2;Antofagasta;2201;Calama;Urbana;C;Indeterminado;3
2;Antofagasta;2201;Calama;Urbana;C;Mujer;13509
2;Antofagasta;2201;Calama;Urbana;D;Hombre;31477
2;Antofagasta;2201;Calama;Urbana;D;Indeterminado;5
2;Antofagasta;2201;Calama;Urbana;D;Mujer;21895
2;Antofagasta;2202;Ollagüe;Rural;A;Hombre;3
2;Antofagasta;2202;Ollagüe;Rural;A;Mujer;5
2;Antofagasta;2202;Ollagüe;Rural;B;Hombre;12
2;Antofagasta;2202;Ollagüe;Rural;B;Mujer;11
2;Antofagasta;2202;Ollagüe;Rural;C;Hombre;9
2;Antofagasta;2202;Ollagüe;Rural;D;Hombre;17
2;Antofagasta;2202;Ollagüe;Rural;D;Mujer;11
2;Antofagasta;2203;San Pedro de Atacama;Rural;A;Hombre;818
2;Antofagasta;2203;San Pedro de Atacama;Rural;A;Mujer;1308
2;Antofagasta;2203;San Pedro de Atacama;Rural;B;Hombre;1658
2;Antofagasta;2203;San Pedro de Atacama;Rural;B;Mujer;2179
2;Antofagasta;2203;San Pedro de Atacama;Rural;C;Hombre;943
2;Antofagasta;2203;San Pedro de Atacama;Rural;C;Mujer;1072
2;Antofagasta;2203;San Pedro de Atacama;Rural;D;Hombre;1916
2;Antofagasta;2203;San Pedro de Atacama;Rural;D;Indeterminado;1
2;Antofagasta;2203;San Pedro de Atacama;Rural;D;Mujer;1779
2;Antofagasta;2301;Tocopilla;Rural;A;Hombre;2036
2;Antofagasta;2301;Tocopilla;Rural;A;Mujer;2703
2;Antofagasta;2301;Tocopilla;Rural;B;Hombre;2046
2;Antofagasta;2301;Tocopilla;Rural;B;Mujer;2722
2;Antofagasta;2301;Tocopilla;Rural;C;Hombre;1140
2;Antofagasta;2301;Tocopilla;Rural;C;Mujer;1206
2;Antofagasta;2301;Tocopilla;Rural;D;Hombre;2582
2;Antofagasta;2301;Tocopilla;Rural;D;Mujer;1457
2;Antofagasta;2302;María Elena;Rural;A;Hombre;175
2;Antofagasta;2302;María Elena;Rural;A;Mujer;280
2;Antofagasta;2302;María Elena;Rural;B;Hombre;254
2;Antofagasta;2302;María Elena;Rural;B;Mujer;319
2;Antofagasta;2302;María Elena;Rural;C;Hombre;245
2;Antofagasta;2302;María Elena;Rural;C;Mujer;256
2;Antofagasta;2302;María Elena;Rural;D;Hombre;550
2;Antofagasta;2302;María Elena;Rural;D;Mujer;397
3;Atacama;3101;Copiapó;Urbana;A;Hombre;10855
3;Atacama;3101;Copiapó;Urbana;A;Indeterminado;4
3;Atacama;3101;Copiapó;Urbana;A;Mujer;15837
3;Atacama;3101;Copiapó;Urbana;B;Hombre;20498
3;Atacama;3101;Copiapó;Urbana;B;Indeterminado;2
3;Atacama;3101;Copiapó;Urbana;B;Mujer;29734
3;Atacama;3101;Copiapó;Urbana;C;Hombre;12002
3;Atacama;3101;Copiapó;Urbana;C;Indeterminado;3
3;Atacama;3101;Copiapó;Urbana;C;Mujer;12247
3;Atacama;3101;Copiapó;Urbana;D;Hombre;26926
3;Atacama;3101;Copiapó;Urbana;D;Indeterminado;2
3;Atacama;3101;Copiapó;Urbana;D;Mujer;18632
3;Atacama;3102;Caldera;Rural;A;Hombre;2068
3;Atacama;3102;Caldera;Rural;A;Indeterminado;1
3;Atacama;3102;Caldera;Rural;A;Mujer;2558
3;Atacama;3102;Caldera;Rural;B;Hombre;3017
3;Atacama;3102;Caldera;Rural;B;Indeterminado;1
3;Atacama;3102;Caldera;Rural;B;Mujer;3704
3;Atacama;3102;Caldera;Rural;C;Hombre;1501
3;Atacama;3102;Caldera;Rural;C;Mujer;1341
3;Atacama;3102;Caldera;Rural;D;Hombre;3184
3;Atacama;3102;Caldera;Rural;D;Mujer;2041
3;Atacama;3103;Tierra Amarilla;Rural;A;Hombre;1612
3;Atacama;3103;Tierra Amarilla;Rural;A;Mujer;2231
3;Atacama;3103;Tierra Amarilla;Rural;B;Hombre;2814
3;Atacama;3103;Tierra Amarilla;Rural;B;Mujer;2774
3;Atacama;3103;Tierra Amarilla;Rural;C;Hombre;1477
3;Atacama;3103;Tierra Amarilla;Rural;C;Mujer;1143
3;Atacama;3103;Tierra Amarilla;Rural;D;Hombre;3645
3;Atacama;3103;Tierra Amarilla;Rural;D;Mujer;1885
3;Atacama;3201;Chañaral;Rural;A;Hombre;1124
3;Atacama;3201;Chañaral;Rural;A;Mujer;1437
3;Atacama;3201;Chañaral;Rural;B;Hombre;1826
3;Atacama;3201;Chañaral;Rural;B;Mujer;2482
3;Atacama;3201;Chañaral;Rural;C;Hombre;1039
3;Atacama;3201;Chañaral;Rural;C;Mujer;1025
3;Atacama;3201;Chañaral;Rural;D;Hombre;2255
3;Atacama;3201;Chañaral;Rural;D;Mujer;1327
3;Atacama;3202;Diego de Almagro;Rural;A;Hombre;456
3;Atacama;3202;Diego de Almagro;Rural;A;Indeterminado;1
